recipe_id,title,recipe_url,image_url,ingredients,ingredients_title,tags,calories_per_serving [cal],calories_per_100g [cal],caloriesfromfat_per_serving [cal],caloriesfromfat_per_100g [cal],totalfat_per_serving [g],totalfat_per_100g [g],saturatedfat_per_serving [g],saturatedfat_per_100g [g],cholesterol_per_serving [mg],cholesterol_per_100g [mg],sodium_per_serving [mg],sodium_per_100g [mg],totalcarbohydrate_per_serving [g],totalcarbohydrate_per_100g [g],dietaryfiber_per_serving [g],dietaryfiber_per_100g [g],sugars_per_serving [g],sugars_per_100g [g],protein_per_serving [g],protein_per_100g [g],who_score,fsa_score,nutri_score,combined_health_score
94978,Best Baked Ziti,https://www.food.com/recipe/best-baked-ziti-94978,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('ziti pasta, uncooked', '16  time(s) ounces '), ('spaghetti sauce', '3 1/2 time(s) cups '), ('ricotta cheese', '2  time(s) cups '), ('shredded mozzarella cheese', '2  time(s) cups '), ('chopped fresh parsley', '0.25 time(s) cup '), ('egg, slightly beaten', '1  time(s) '), ('oregano', '1  time(s) teaspoon '), ('garlic powder', '0.5 time(s) teaspoon '), ('pepper', '0.25 time(s) teaspoon '), ('grated parmesan cheese', '1  time(s) tablespoon '), ('spray', ' time(s) cooking ')]}","['ziti pasta', 'spaghetti sauce', 'ricotta cheese', 'mozzarella cheese', 'parsley', 'egg', 'oregano', 'garlic powder', 'pepper', 'parmesan cheese', 'spray']","['Moderate Calorie', 'Moderate Fat', 'Low Sugar', 'Moderate Cholesterol', 'Vegetarian']",464.4,220.1,156,73.9,17.4,8.2,9.6,4.5,78.4,37.2,479.9,227.4,53.2,25.2,3.4,1.6,7.0,3.3,22.7,10.8,0.2072895508914466,0.375,0.25,4.2
25768,Potato Salad,https://www.food.com/recipe/potato-salad-25768,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('red potatoes', '4  time(s) lbs '), ('hard-boiled eggs, separated', '5  time(s) '), ('salt, divided', '1  time(s) teaspoon '), ('green onions, sliced', '3  time(s) '), ('mayonnaise', '1  time(s) cup '), ('sweet pickle relish', '2  time(s) tablespoons '), ('prepared mustard', '1  time(s) tablespoon '), ('pepper', '0.5 time(s) teaspoon '), ('celery seed', '0.5 time(s) teaspoon ')]}","['red potatoes', 'hard-boiled eggs', 'salt', 'green onions', 'mayonnaise', 'sweet pickle relish', 'prepared mustard', 'pepper', 'celery seed']","['Moderate Calorie', 'Low Fat', 'Low Sugar', 'Moderate Cholesterol', 'Vegetarian']",216.1,80.0,33,12.2,3.8,1.4,1.1,0.4,116.6,43.2,423.1,156.7,38.4,14.2,4.2,1.6,4.5,1.7,8.5,3.1,0.2365079365079365,0.75,0.25,5.8
261583,Buttery Garlic Green Beans,https://www.food.com/recipe/garlic-green-beans-261583,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('green beans, fresh', '1  time(s) lb '), ('garlic cloves, minced', '3 -4  time(s) '), ('butter, melted', '3  time(s) tablespoons '), ('salt', '0.125 time(s) teaspoon '), ('pepper', '0.125 time(s) teaspoon ')]}","['green beans', 'garlic cloves', 'butter', 'salt', 'pepper']","['Moderate Calorie', 'Moderate Fat', 'Low Sugar', 'Low Cholesterol', 'Vegetarian']",115.0,91.3,80,63.5,8.9,7.1,5.5,4.4,22.9,18.2,155.9,123.7,8.7,6.9,3.1,2.5,3.7,2.9,2.3,1.8,0.2921390778533635,0.625,0.25,5.9
65049,Ultimate Fluffy Pancakes,https://www.food.com/recipe/pancakes-65049,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('all-purpose flour', '1 1/2 time(s) cups '), ('salt', '1  time(s) teaspoon '), ('sugar', '2  time(s) tablespoons '), ('baking powder', '2 1/2 time(s) teaspoons '), ('egg', '1 time(s) '), ('melted butter', '3  time(s) tablespoons '), ('milk', '1 1/4 time(s) cups ')]}","['all-purpose flour', 'salt', 'sugar', 'baking powder', 'egg', 'melted butter', 'milk']","['Moderate Calorie', 'Moderate Fat', 'Low Sugar', 'Moderate Cholesterol', 'Vegetarian']",339.5,216.2,117,74.5,13.1,8.3,7.7,4.9,80.1,51.0,940.5,599.0,46.4,29.6,1.3,0.8,6.5,4.1,9.0,5.7,0.1693964209887776,0.375,0.25,3.9
40516,Mandarin Salad,https://www.food.com/recipe/mandarin-salad-40516,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'Dressing': [('vegetable oil', '/ time(s) cup '), ('cider vinegar', '/ time(s) cup '), ('sugar', '/ time(s) cup '), ('finely chopped fresh parsley', '2 time(s) tablespoons '), ('salt', '1 time(s) teaspoon '), ('hot pepper sauce', '/ time(s) teaspoon ')], 'Salad': [('lettuce', '1 time(s) head iceberg '), ('head romaine lettuce', '1 time(s) '), ('chopped celery', '2 time(s) cups '), ('mandarin oranges, drained', ' time(s) 11 ounce cans '), ('thinly sliced red onion', '1 time(s) cup ')], 'Topping': [('sliced almonds', '1 time(s) cup '), ('sugar', '/ time(s) cup ')]}","['vegetable oil', 'cider vinegar', 'sugar', 'finely parsley', 'salt', 'hot pepper sauce', 'lettuce', 'head romaine lettuce', 'celery', 'mandarin oranges', 'thinly red onion', 'almonds', 'sugar']","['Moderate Calorie', 'Moderate Fat', 'Moderate Sugar', 'Low Cholesterol', 'Vegan', 'Vegetarian']",160.5,100.9,89,56.0,10.0,6.3,1.1,0.7,0.0,0.0,165.6,104.2,17.4,10.9,3.0,1.9,13.4,8.4,2.5,1.6,0.2654986522911051,0.625,0.25,5.7
21438,Baked Asparagus,https://www.food.com/recipe/baked-asparagus-21438,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('asparagus', '1  time(s) lb '), ('olive oil', ' time(s) '), ('toasted sesame seeds', '1  time(s) tablespoon '), ('salt and pepper', ' time(s) '), ('lemon', '1 time(s) ')]}","['asparagus', 'olive oil', 'toasted sesame seeds', 'salt and pepper', 'lemon']","['Low Calorie', 'Low Fat', 'Low Sugar', 'Low Cholesterol', 'Vegan', 'Vegetarian']",49.2,37.6,18,13.7,2.0,1.5,0.3,0.2,0.0,0.0,16.6,12.7,6.9,5.3,3.2,2.4,1.8,1.4,3.5,2.7,0.3324245728825881,1.0,1.0,9.9
47188,Broccoli and Cheese Soup,https://www.food.com/recipe/broccoli-and-cheese-soup-47188,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('bunch broccoli', '1  time(s) '), ('butter', '0.5 time(s) cup '), ('medium onion, chopped', '1  time(s) '), ('flour', '0.5 time(s) cup '), ('milk', '2  time(s) cups '), ('grated mild cheddar cheese or 1 cup $template2$', '1  time(s) cup '), ('chicken broth', '2 time(s) (10 3/4 ounce) cans '), ('salt and pepper', ' time(s) '), ('Velveeta cheese', ' time(s) ')]}","['bunch broccoli', 'butter', 'onion', 'flour', 'milk', 'mild cheddar cheese', 'chicken broth', 'salt and pepper', 'Velveeta cheese']","['Moderate Calorie', 'Moderate Fat', 'Low Sugar', 'Moderate Cholesterol']",360.8,100.8,231,64.5,25.7,7.2,15.8,4.4,71.8,20.1,660.7,184.6,20.8,5.8,3.2,0.9,3.0,0.8,13.9,3.9,0.1980579941473796,0.25,0.25,3.7
33104,Un-Boiled Chicken,https://www.food.com/recipe/un-boiled-chicken-33104,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('chicken (you may use whole birds or parts as desired)', '1  time(s) '), ('water', ' time(s) ')]}","['chicken (you may use whole birds', 'water']","['Moderate Calorie', 'Moderate Fat', 'Low Sugar', 'High Cholesterol']",243.8,215.8,153,135.4,17.1,15.1,4.9,4.3,85.0,75.2,79.4,70.3,0.0,0.0,0.0,0.0,0.0,0.0,21.1,18.7,0.3255372945638432,0.625,0.25,6.2
14680,Peanut Butter Popcorn,https://www.food.com/recipe/peanut-butter-popcorn-14680,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('light corn syrup (or golden syrup)', '0.5 time(s) cup '), ('sugar', '0.5 time(s) cup '), ('peanut butter', '0.5 time(s) cup '), ('vanilla', '1  time(s) teaspoon '), ('popped popcorn', '6 -8  time(s) cups ')]}","['light corn syrup (or golden syrup)', 'sugar', 'peanut butter', 'vanilla', 'popped popcorn']","['High Calorie', 'Moderate Fat', 'High Sugar', 'Low Cholesterol', 'Vegetarian']",228.2,407.5,75,133.9,8.4,15.0,1.7,3.0,0.0,0.0,87.9,157.0,36.8,65.7,1.8,3.2,19.8,35.4,4.8,8.6,0.3022959183673469,0.25,0.0,4.0
14106,Roast Beef Horseradish Spirals,https://www.food.com/recipe/roast-beef-horseradish-spirals-14106,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('package cream cheese, at room temperature', '1 time(s) (8 ounce) '), ('green onions, chopped about 1/2 cup', '2  time(s) '), ('chopped fresh parsley', '0.25 time(s) cup '), ('prepared horseradish, drained', '2  time(s) tablespoons '), ('salt', '0.25 time(s) teaspoon '), ('garlic powder', '0.25 time(s) teaspoon '), ('deli roast beef, sliced', '8  time(s) ounces '), ('10-inch flour tortillas, cheese flavoured are nice', '2  time(s) ')]}","['package cream cheese', 'green onions', 'parsley', 'prepared horseradish', 'salt', 'garlic powder', 'deli roast beef', '10-inch flour tortillas']","['Low Calorie', 'Low Fat', 'Low Sugar', 'Low Cholesterol']",42.0,6.2,24,3.6,2.7,0.4,1.4,0.2,10.0,1.5,134.5,20.0,2.6,0.4,0.2,0.0,0.4,0.1,1.9,0.3,0.2845096371882086,1.0,0.5,7.9
17954,Mexican Lasagna,https://www.food.com/recipe/mexican-lasagna-17954,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('lean ground turkey', '1  time(s) lb '), ('package taco seasoning', '1 time(s) (1 1/4 ounce) '), ('chopped onion', '0.5 time(s) cup '), ('tomato sauce (low sodium)', '1 1/2 time(s) cups '), ('salsa or 16 ounces picante sauce', '16  time(s) ounces '), ('light cottage cheese', '1  time(s) cup '), ('egg substitute', '0.75 time(s) cup '), ('corn tortillas', '8  time(s) '), ('light monterey jack cheese, shredded', '4  time(s) ounces '), ('light cheddar cheese, shredded', '4  time(s) ounces ')]}","['lean turkey', 'package taco seasoning', 'onion', 'tomato sauce (low sodium)', 'salsa', 'light cottage cheese', 'egg substitute', 'corn tortillas', 'light monterey jack cheese', 'light cheddar cheese']","['Moderate Calorie', 'Low Fat', 'Low Sugar', 'Low Cholesterol']",219.2,88.7,56,22.7,6.3,2.6,2.0,0.8,42.6,17.2,1164.7,471.5,21.2,8.6,4.1,1.7,6.0,2.4,21.4,8.7,0.2306728359359938,0.75,0.25,5.8
56407,Cream Cheese Cut-Out Cookies,https://www.food.com/recipe/cream-cheese-cut-out-cookies-56407,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('margarine', '1  time(s) cup '), ('package cream cheese', '1 time(s) (3 ounce) '), ('sugar', '1  time(s) cup '), ('yolk', '1  time(s) large egg '), ('vanilla', '1  time(s) teaspoon '), ('flour', '2 1/2 time(s) cups ')]}","['margarine', 'package cream cheese', 'sugar', 'yolk', 'vanilla', 'flour']","['Low Calorie', 'Low Fat', 'Low Sugar', 'Low Cholesterol', 'Vegetarian']",162.2,19.2,81,9.6,9.1,1.1,2.3,0.3,11.6,1.4,100.7,11.9,18.5,2.2,0.3,0.0,8.5,1.0,1.8,0.2,0.2774204468517264,1.0,0.5,7.8
31749,Pumpkin Curry Soup,https://www.food.com/recipe/pumpkin-curry-soup-31749,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('margarine', '2  time(s) tablespoons '), ('onion, chopped', '1  time(s) cup '), ('cloves garlic, crushed', '2  time(s) '), ('curry powder', '2  time(s) teaspoons '), ('salt', '0.5 time(s) teaspoon '), ('pepper', '0.5 time(s) teaspoon '), ('chicken broth', '3  time(s) cups '), ('pumpkin', '1 time(s) (15 ounce) can '), ('evaporated milk', '1 1/2 time(s) cups ')]}","['margarine', 'onion', 'cloves garlic', 'curry powder', 'salt', 'pepper', 'chicken broth', 'pumpkin', 'evaporated milk']","['Moderate Calorie', 'Moderate Fat', 'Low Sugar', 'Low Cholesterol']",256.4,88.7,127,43.9,14.2,4.9,5.9,2.0,27.4,9.5,1020.8,353.2,22.1,7.6,1.6,0.6,3.7,1.3,11.9,4.1,0.2037403196572746,0.5,0.25,4.6
133821,Roasted Green Beans,https://www.food.com/recipe/roasted-green-beans-133821,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('green beans', '2  time(s) lbs '), ('olive oil (or just enough to lightly coat beans)', '1 -2  time(s) tablespoon '), ('kosher salt (or to taste, may substitute with Mrs. Dash if desired)', '1  time(s) teaspoon '), ('fresh ground pepper (or to taste, omit if using Mrs. Dash)', '0.5 time(s) teaspoon ')]}","['green beans', 'olive oil (or just enough to lightly coat beans)', 'kosher salt (or to taste', 'pepper (or to taste']","['Moderate Calorie', 'Low Fat', 'Low Sugar', 'Low Cholesterol', 'Vegan', 'Vegetarian']",100.9,65.5,34,22.1,3.9,2.5,0.6,0.4,0.0,0.0,595.1,386.4,16.0,10.4,6.2,4.0,7.4,4.8,4.2,2.7,0.24860853432282,0.75,0.5,6.7
86516,Quiche,https://www.food.com/recipe/quiche-86516,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_860,ar_3:2/v1/img/recipes/33/42/0/uEYux4vuQB6frgI11osi_GREAT_BUFFALO_CHICKEN_PIZZA_041.jpg","{'': [('shredded cheddar cheese', '1 1/2 time(s) cups '), ('flour', '2  time(s) tablespoons '), ('milk', '1  time(s) cup '), ('eggs, slightly beaten', '3  time(s) '), ('grated parmesan cheese (optional)', '0.5 time(s) cup '), ('unbaked pie shells', '1 time(s) (9 inch) '), ('dash pepper', '1  time(s) ')]}","['cheddar cheese', 'flour', 'milk', 'eggs', 'parmesan cheese (optional)', 'unbaked pie shells', 'dash pepper']","['Moderate Calorie', 'Moderate Fat', 'Low Sugar', 'High Cholesterol', 'Vegetarian']",336.8,245.8,208,151.8,23.2,16.9,10.2,7.4,128.4,93.7,386.8,282.3,18.1,13.2,1.2,0.9,0.3,0.2,13.6,9.9,0.1711852624261383,0.25,0.0,2.7
